Month,Year,Temp,Season,Year_Avg,Year_Avg_Label
January,2014,34.6,Winter,51.2917,avg
February,2014,32,Winter,51.2917,avg
March,2014,43.6,Spring,51.2917,avg
April,2014,49.8,Spring,51.2917,avg
May,2014,56.6,Spring,51.2917,avg
June,2014,66.2,Summer,51.2917,avg
July,2014,72.2,Summer,51.2917,avg
August,2014,69.2,Summer,51.2917,avg
September,2014,63.8,Fall,51.2917,avg
October,2014,55.3,Fall,51.2917,avg
November,2014,38.3,Fall,51.2917,avg
December,2014,33.9,Winter,51.2917,avg
January,2015,36.5,Winter,52.525,warm
February,2015,36.6,Winter,52.525,warm
March,2015,46.1,Spring,52.525,warm
April,2015,50.1,Spring,52.525,warm
May,2015,52.4,Spring,52.525,warm
June,2015,68.3,Summer,52.525,warm
July,2015,70.3,Summer,52.525,warm
August,2015,70.5,Summer,52.525,warm
September,2015,69.4,Fall,52.525,warm
October,2015,56.2,Fall,52.525,warm
November,2015,40.8,Fall,52.525,warm
December,2015,33.1,Winter,52.525,warm
January,2016,34.1,Winter,53.2667,warm
February,2016,40.9,Winter,53.2667,warm
March,2016,43,Spring,53.2667,warm
April,2016,49,Spring,53.2667,warm
May,2016,54.1,Spring,53.2667,warm
June,2016,70.5,Summer,53.2667,warm
July,2016,74,Summer,53.2667,warm
August,2016,70.4,Summer,53.2667,warm
September,2016,64.9,Fall,53.2667,warm
October,2016,58.8,Fall,53.2667,warm
November,2016,47.5,Fall,53.2667,warm
December,2016,32,Winter,53.2667,warm
January,2017,32.2,Winter,53.325,warm
February,2017,42.3,Winter,53.325,warm
March,2017,50.3,Spring,53.325,warm
April,2017,48.9,Spring,53.325,warm
May,2017,55.7,Spring,53.325,warm
June,2017,68.7,Summer,53.325,warm
July,2017,73.9,Summer,53.325,warm
August,2017,69,Summer,53.325,warm
September,2017,63.5,Fall,53.325,warm
October,2017,51.5,Fall,53.325,warm
November,2017,47.5,Fall,53.325,warm
December,2017,36.4,Winter,53.325,warm
